date	company	title	url	source
https://job-boards.greenhouse.io/anthropic/jobs/5183051008	2026-05-06	greenhouse-api	Anthropic Fellows Program — ML Systems & Performance	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5207565008	2026-05-06	greenhouse-api	Community & Executive Escalations Program Manager	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5133449008	2026-05-06	greenhouse-api	Finance Systems, Program Manager - Quote-to-cash	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5162711008	2026-05-06	greenhouse-api	Global Senior Equity Program Manager	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5082402008	2026-05-06	greenhouse-api	Partner Alliance Manager – Regional & Specialist Systems Integrators	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5191437008	2026-05-06	greenhouse-api	Partner Business Systems & AI Operations Lead	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5171950008	2026-05-06	greenhouse-api	Partner Sales Manager, Systems Integrators	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5102171008	2026-05-06	greenhouse-api	Program Manager, Student Outreach	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5194302008	2026-05-06	greenhouse-api	Program Operations Manager, Human Data	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4991194008	2026-05-06	greenhouse-api	Senior Business Systems Analyst, Finance Systems	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5175013008	2026-05-06	greenhouse-api	Strategic Operations Manager, Claude Marketplace	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5201264008	2026-05-06	greenhouse-api	Technical Program Manager, Cloud Inference	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5138044008	2026-05-06	greenhouse-api	Technical Program Manager, Compute 	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5107763008	2026-05-06	greenhouse-api	Technical Program Manager, Inference Performance	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5111783008	2026-05-06	greenhouse-api	Technical Program Manager, Infrastructure	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5208193008	2026-05-06	greenhouse-api	Technical Program Manager, Launches  	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5108854008	2026-05-06	greenhouse-api	Technical Program Manager, Marketing Technology	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5203545008	2026-05-06	greenhouse-api	Technical Program Manager, Research	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5108695008	2026-05-06	greenhouse-api	Technical Program Manager, Safeguards (Infrastructure & Evals)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4989788008	2026-05-06	greenhouse-api	Technical Program Manager, Security	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5123769008	2026-05-06	greenhouse-api	Technical Program Manager, Security (Coordinated Vulnerability Disclosure)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5200856008	2026-05-06	greenhouse-api	Workplace Experience, Operations Manager	Anthropic	added
https://job-boards.greenhouse.io/remotecom/jobs/7551628003	2026-05-06	greenhouse-api	Finance Systems Data Analyst	Remote.com	added
https://job-boards.greenhouse.io/remotecom/jobs/7704166003	2026-05-06	greenhouse-api	Manager, Business Operations	Remote.com	added
https://job-boards.greenhouse.io/remotecom/jobs/7645176003	2026-05-06	greenhouse-api	Revenue Strategy & Biz Ops Lead	Remote.com	added
https://job-boards.greenhouse.io/typeform/jobs/7518854	2026-05-06	greenhouse-api	Creative Project Manager	Typeform	added
https://job-boards.greenhouse.io/webflow/jobs/7848082	2026-05-06	greenhouse-api	Senior Technical Program Manager, Productivity	Webflow	added
https://job-boards.greenhouse.io/calendly/jobs/8472457002	2026-05-06	greenhouse-api	Staff Product Operations Manager	Calendly	added
https://jobs.ashbyhq.com/perplexity/18509f15-ab49-450d-8a01-4b280e464ad0	2026-05-06	ashby-api	IT Systems Administrator 	Perplexity	added
https://jobs.ashbyhq.com/claylabs/ed810aff-a513-4359-b6bb-08e50e80b131	2026-05-06	ashby-api	Chief of Staff, Marketing	Clay	added
https://job-boards.greenhouse.io/gitlab/jobs/8500190002	2026-05-06	greenhouse-api	CX Services Program Manager	GitLab	added
https://job-boards.greenhouse.io/gitlab/jobs/8481645002	2026-05-06	greenhouse-api	Program Manager - Dubai	GitLab	added
https://job-boards.greenhouse.io/gitlab/jobs/8457478002	2026-05-06	greenhouse-api	Program Manager, Enablement Content	GitLab	added
https://job-boards.greenhouse.io/gitlab/jobs/8481626002	2026-05-06	greenhouse-api	Program Manager - London	GitLab	added
https://job-boards.greenhouse.io/gitlab/jobs/8517571002	2026-05-06	greenhouse-api	Staff Program Manager, Enterprise Technology & AI	GitLab	added
https://job-boards.greenhouse.io/gitlab/jobs/8506618002	2026-05-06	greenhouse-api	Staff Technical Program Manager	GitLab	added
https://jobs.ashbyhq.com/harvey/be87aefc-9e03-4294-a86f-a4c5e9fddb44	2026-05-06	ashby-api	Senior Product Operations Manager	Harvey	added
https://jobs.ashbyhq.com/harvey/d8cf6db8-6a38-42c6-b54e-6c1df76d1372	2026-05-06	ashby-api	Senior People Systems Analyst 	Harvey	added
https://jobs.ashbyhq.com/harvey/aede4098-91f4-44f5-9d53-27c15cb2bae7	2026-05-06	ashby-api	Staff Design Systems Designer	Harvey	added
https://jobs.ashbyhq.com/harvey/9ea6dcda-7869-4181-b493-2822bbc14097	2026-05-06	ashby-api	Technical Program Manager, Quality and Reliability	Harvey	added
https://jobs.ashbyhq.com/harvey/5344a1ec-486a-4154-b434-b2e6d2c9aae7	2026-05-06	ashby-api	Support Operations Manager, User Operations	Harvey	added
https://jobs.ashbyhq.com/harvey/5b0d3e76-bdda-421f-83f3-8abd83fec62b	2026-05-06	ashby-api	Program Manager, Customer Stories & Advocacy, NYC	Harvey	added
https://jobs.ashbyhq.com/harvey/ef184975-9336-48cf-a1ef-a635a6ec725b	2026-05-06	ashby-api	Senior People Systems Analyst	Harvey	added
https://jobs.ashbyhq.com/harvey/da9f2961-fcfd-401f-a86a-9e548290b4a4	2026-05-06	ashby-api	Employee Experience Program Manager	Harvey	added
https://jobs.ashbyhq.com/harvey/4e7cd814-e070-41a1-94eb-94c6937ea834	2026-05-06	ashby-api	Partner Operations Manager, EMEA	Harvey	added
https://jobs.ashbyhq.com/harvey/388af267-a91a-4331-b011-d8fffaeda9e1	2026-05-06	ashby-api	Global Benefits Program Manager	Harvey	added
https://jobs.ashbyhq.com/harvey/25142ed9-88af-4bc4-b458-22179020b563	2026-05-06	ashby-api	Technical Support Operations Manager, US	Harvey	added
https://jobs.ashbyhq.com/harvey/22a3e192-e8ab-41f0-bfc3-1586587ab182	2026-05-06	ashby-api	GTM Systems Admin (Support)	Harvey	added
https://jobs.ashbyhq.com/harvey/beaeadde-22b3-4917-ba7c-d9c1a62f2d38	2026-05-06	ashby-api	GTM Systems Admin, Growth	Harvey	added
https://jobs.ashbyhq.com/harvey/87f76952-7461-4f8c-9ad7-b79a89c291b0	2026-05-06	ashby-api	Sr. People Systems Analyst	Harvey	added
